Date,HE,PGE,SCE,SDGE,VEA,CAISO Total
2021-03-11,300,257046.57,259905.2,48222.45,1832.75,567006.96
2021-03-12,300,247014.8,259438.87,48767.04,1858.1399999999999,557078.86
2021-03-13,300,231711.86,228609.07,45563.14,1659.25,507543.28
2021-03-14,298,228897.61,211998.06,42495.23,1500.18,484587.5
2021-03-15,300,259415.16999999998,255880.83000000002,52580.15,1672.29,569548.43
2021-03-16,300,256850.66,253140.11,48645.86,1814.6200000000001,560451.28
2021-03-17,300,262817.01,253178.3,47956.27,1603.26,565554.84
2021-03-18,300,266142.36,247948.14,45874.99,1419.92,561385.39
2021-03-19,300,250990.34,244811.64,45243.72,1405.08,542450.78
2021-03-20,300,227268.57,222091.82,42217.03,949.53,492526.97
2021-03-21,300,213920.22,212186.0,40935.18,1156.63,468198.01
2021-03-22,300,238342.23,240213.17,45730.4,1401.05,525686.91
2021-03-23,300,235004.59,247685.21,47802.55,1366.48,531858.85
2021-03-24,300,238487.36,244139.73,45496.31,1526.96,529650.37
2021-03-25,300,240305.2,250388.58000000002,50253.52,1247.23,542194.54
2021-03-26,300,237354.02,240631.34,46199.049999999996,1226.78,525411.0700000001
2021-03-27,300,223352.44,222330.79,41854.08,1307.2,488844.47
2021-03-28,300,217349.36,219887.19,41654.46,1125.81,480016.8
2021-03-29,300,240274.3,246130.75,45278.83,1301.97,532985.78
2021-03-30,300,242630.18,248342.5,45394.92,1130.89,537498.51
2021-03-31,300,247489.76,255146.16,47276.46,1218.91,551131.31
2021-04-01,300,246696.42,261674.08,50042.04,1200.59,559613.12
2021-04-02,300,244541.88,245977.81,45909.81,1132.12,537560.2
2021-04-03,300,228751.45,224772.47,42538.65,1163.79,497226.28
2021-04-04,300,216493.47,215421.63,41191.29,1102.42,474208.71
2021-04-05,300,243662.44,244784.0,45232.58,1182.21,534861.24
2021-04-06,300,245175.15,249716.33,45651.03,1102.0,541644.5
2021-04-07,300,248003.21,257070.11,46929.81,1122.38,553125.46
2021-04-08,300,248564.27,254328.68,45839.73,1232.59,549965.29
